2018-06-14 23:58:16, INFO, unknown, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[56]------ 摘要shax16>62b67d756119f6aad5e1e2b33e50649c10cad38e 
2018-06-14 23:58:16, INFO, unknown, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://www.sdjzsx.com/pay/sfb1/notify_url.php&certId=1528963257459786&merId=7000000374&merchantNum=200370951110001&orderId=2018061423321516446&productCode=0203&signMethod=01&txnAmt=200&txnSubType=03&txnTime=20180614235835&txnType=02&version=1.0 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >e3de2336afde77b67a65320327df0b00d7c4db46 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[28]------ 签名串为 >RreWY+1SCyzMHaTMmNpJ5wHP9qHyoSt5aCgKMZCwTY4VSpQXj0AfRIDvwvCK+D8MD5e1y2/I6HVGWOEAC4AHry83LcF1S8c9252v74wvgHCxTFKlnGKVda6GfPyLIkDLkdBXTgOWqdvorfX78OvrjUC40UynoKwVxdnNp2aqiQNvoOhvfdq2iVvLsLYBHC1Mg2ia5ERBxYCtTC2xuOp4BYzQcnxkx8xm8nPUhbUYV8WkFUk/AX+8Nfh201l3o+tYYYaGs10gtHRgPzTLfe0ZmcIzDIGcg0sxHx0iYpiLiaWC94JP5mRyvNMGSuhEIzkC7fORClqS/abOCRu3dbQX1g== 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>./assets/certs/ 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://www.sdjzsx.com/pay/sfb1/notify_url.php&certId=1493192193960028&merId=7000000374&merchantNum=200370951110001&orderId=2018061423321516446&productCode=0203&respCode=44&respMsg=订单异常[203007]&signMethod=01&txnAmt=200&txnSubType=03&txnTime=20180614235835&txnType=02&version=1.0 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[56]------ 摘要shax16>52c94ec58a92aaa7f00e1ac1feb312ac81f31196 
2018-06-14 23:58:35, INFO, 101.199.110.111, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[58]------ 验签成功 
