2018-06-15 0:44:02, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-06-15 0:44:02, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://www.sdjzsx.com/pay/sfb1/notify_url.php&certId=1528963257459786&merId=7000000374&merchantNum=200370951110001&orderId=2018061500440244383&productCode=0203&signMethod=01&txnAmt=200&txnSubType=03&txnTime=20180615004402&txnType=02&version=1.0 
2018-06-15 0:44:02, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >ca3bc0d4a649bcb6162e18a378fcc88086a5ef31 
2018-06-15 0:44:02, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[28]------ 签名串为 >ZQ2BV5EHSLMFlVWYVp03dOtdcE7Kig5BTAhWZ8/1JZPNtSupTIt5dNOnHG6FoHvcj+iyIq1lSnjykRonWPZBAWzitIUhvnzci9UZRW0rsIEEX8+l8DR+QoxV7fgPNks7t8kVAw94Fv3H2dr6oFYrIYn8qKFB8GkZTmqWOgBOYI0pj76i10jnEJQrVyMsHXB7IH4eb+y6F1lswkEDyiDTq3I+4GBGOFqg7S0D+JoH1Ymu2EKObPbCmnoWeunKREPjSQpj6u0IGoFcytkc20BOL2JtiD6ODdJxMyC0RRfkVe7HAwaae4wWwvdMiZUbKw4RIS5qMjhRpAaNfVm72/uaJA== 
2018-06-15 0:44:02, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-06-15 0:44:04, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-06-15 0:44:04, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>./assets/certs/ 
2018-06-15 0:44:04, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-06-15 0:44:04, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://www.sdjzsx.com/pay/sfb1/notify_url.php&certId=1493192193960028&merId=7000000374&merchantNum=200370951110001&orderId=2018061500440244383&payInfo=https://qr.alipay.com/bax05850gronbxxzisu78021&productCode=0203&queryId=18061530785053485064&respCode=66&respMsg=交易成功&signMethod=01&txnAmt=200&txnSubType=03&txnTime=20180615004402&txnType=02&version=1.0 
2018-06-15 0:44:04, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[56]------ 摘要shax16>849d0338aa6161db2a71fc963adc41c7b00d4eba 
2018-06-15 0:44:04, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb1\sdk\secureUtil.php ], Line[58]------ 验签成功 
