2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://pay.7zcyl.com/pay/sfb/notify_url.php&certId=1526265143868626&merId=7000000293&merchantNum=200370148160002&orderId=2018060223425060840&productCode=0202&signMethod=01&txnAmt=49627&txnSubType=02&txnTime=20180603000039&txnType=02&version=1.0 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >8905b02f63dc2b4988c9c0763eb4da76a14ee76e 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[28]------ 签名串为 >wO1t4Vql7JEZwOazpBxpdwwAg3gPA11zuIboNfhf47HLo86ywc1CswJyT5YnQ63JkCY6mimxE9t5OChnzUYLwj2wtOsorfArH3fPLiLVPxjlWD59TX0eSDzF2k1K114OmXqFV+9/4YRMfm6aR92fxK7iLtA1hjwEX3oo1ZRQ1G4qfkIeXDXomHdcQuCXgT2qgEOoC39lSbzs+aZQpchonZGl2A8nrrSCAQKtSztuJeOuoPYRUDjFTwIBIBnnmkV9aPJnrRTshDXJ9PQ5xY5e7fWhXzCLRhRKP6S5kll0Ysgr4fZ6Scd75ew4F92bV2iFn8CjGT+etvWSyoOp4/L2CQ== 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>./assets/certs/ 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://pay.7zcyl.com/pay/sfb/notify_url.php&certId=1493192193960028&merId=7000000293&merchantNum=200370148160002&orderId=2018060223425060840&productCode=0202&respCode=44&respMsg=订单异常[203007]&signMethod=01&txnAmt=49627&txnSubType=02&txnTime=20180603000039&txnType=02&version=1.0 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[56]------ 摘要shax16>3c0346ce90a5c097f3e2a9064ca92a68bef6fc67 
2018-06-03 0:00:39, INFO, 106.120.160.114, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-06-03 0:01:04, INFO, 101.199.112.55, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-06-03 0:01:04, INFO, 101.199.112.55, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://pay.7zcyl.com/pay/sfb/notify_url.php&certId=1526265143868626&merId=7000000293&merchantNum=200370148160002&orderId=2018060223425060840&productCode=0202&signMethod=01&txnAmt=49716&txnSubType=02&txnTime=20180603000104&txnType=02&version=1.0 
2018-06-03 0:01:04, INFO, 101.199.112.55, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >d5398e6ab4c0753af37e2608065ed2bee2b1d1b0 
2018-06-03 0:01:04, INFO, 101.199.112.55, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[28]------ 签名串为 >e+zSsrlqAepplgMzrMf//0oT0MEQCSujyplOlCjE9HmGZlmpz2473mocSgRNnyvDIKCg9TUlwcVJl+BPuNrdu4YjQBNRwl+0x7qAEhyP0WZrFWGq6SpEaXbbfkb0u3hOQ/jTLZcxbLb5QnLvBz9J6AVrniMlrJnMHYAtVtPm8jDhBk32kF2ztHa0fLevpQhAtau5gglHnm1sPtgcRVDtlKp9vAD4mRQJI/Y8t/wX7gQP8LQRrDYiRXpUdC8McjUhp6ulZWePG0CopcgILQojEAcl1SaZF+zzYOUL5MPR+lrvwaVRDyT6sUst4lFrAebn3Ppf0Y+FhhmtFnx0RptX5w== 
2018-06-03 0:01:04, INFO, 101.199.112.55, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-06-03 0:01:04, INFO, 101.199.112.55, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-06-03 0:01:04, INFO, 101.199.112.55, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>./assets/certs/ 
2018-06-03 0:01:04, INFO, 101.199.112.55, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
