2018-06-02 10:13:17, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-06-02 10:13:17, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://pay.7zcyl.com/pay/sfb/notify_url.php&certId=1526265143868626&merId=7000000293&merchantNum=200370148160002&orderId=2018060210131248614&productCode=0203&signMethod=01&txnAmt=101&txnSubType=03&txnTime=20180602101317&txnType=02&version=1.0 
2018-06-02 10:13:17, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >c4b4bbb9d32b7cebb3f4424aa49c021ab78648db 
2018-06-02 10:13:17, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[28]------ 签名串为 >wF5axT/fQ7OKqzCXdE4tqcRosyAtv9bkIF5CLhJNCC6oeC58DV2g3CKxF74LsxsarnUWBBN3EDEZsFsnxEvN+Fjx/nUZp2K/HnHUVoKTI7J84OlQX30ybkxx9+GBoynlcSsBJ/IbAW4Fq9dVoUSN3cxwyV8n/TluTaAkQM2U/qNNY4wzPWc3w5YNjrbIwlZ8l5P5qza97ldki7qfAVyLFJZHE8XOa8NsKwpS/vlEqf7NzVZKORYg32fZzDtp7DNFXaSIwLlIufIMHrYpmzOrTWDXYGtAB204pa0WSH0M2fYogTXIQNCCJQOzXu3oFi3rIwI9FcNfPg2yPIjlsNktOQ== 
2018-06-02 10:13:17, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-06-02 10:13:19, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-06-02 10:13:19, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>./assets/certs/ 
2018-06-02 10:13:19, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-06-02 10:13:19, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://pay.7zcyl.com/pay/sfb/notify_url.php&certId=1493192193960028&merId=7000000293&merchantNum=200370148160002&orderId=2018060210131248614&payInfo=https://qr.alipay.com/bax08865ipiwfxdzy9fy006c&productCode=0203&queryId=18060229821004948134&respCode=66&respMsg=交易成功&signMethod=01&txnAmt=101&txnSubType=03&txnTime=20180602101317&txnType=02&version=1.0 
2018-06-02 10:13:19, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[56]------ 摘要shax16>33225d49d6452e5521b0b0fe13e5c3b4d1bbb5aa 
2018-06-02 10:13:19, INFO, 219.133.179.110, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-06-02 10:14:17, INFO, 101.226.79.244, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-06-02 10:14:17, INFO, 101.226.79.244, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://pay.7zcyl.com/pay/sfb/notify_url.php&certId=1526265143868626&merId=7000000293&merchantNum=200370148160002&orderId=&productCode=&signMethod=01&txnAmt=0&txnSubType=&txnTime=20180602101417&txnType=02&version=1.0 
