2018-05-26 11:50:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-05-26 11:50:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://test1.lsjcbl.top&certId=1515124964290786&merId=7000000185&merchantNum=200370100010003&orderId=1527306634&productCode=0203&reqReserved=my order&signMethod=01&txnAmt=100&txnSubType=03&txnTime=20180526115034&txnType=02&version=1.0 
2018-05-26 11:50:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >1fd19041a046872513899e4ce995c9fd800d683e 
2018-05-26 11:50:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[28]------ 签名串为 >uKGEd0HIEYDE+m1r8wYjOi8kb/aIzo8ghB6tI4ZJIEaqPs8gquMoqwwqNlM1nPuANKD+rcuZGiGWIEJCWBKxOt1JP2ysmrpx5pnDBp1RtNcjc/raeqdmInrdrxXNTAbqFxorridg6k/4RPKVLRDNuM33MZqnk2vnrKMVQ36F1IClWzuHRMx4gyJb7ecgnlZMd2jDUfvBbNdCy9lCNzDMKjrYr8GsQnGKIWFeCBqNPVTrWvSADcEMI3lGbB6c5qx1wQ+bDhzyDEz5AubVpXd5+QSePpR9v4S+ASiN32d9Q0FPCaYX2sQ+ixeDRBTrkoLuBRPTgCGs16uMdiF0WduD4Q== 
2018-05-26 11:50:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-05-26 11:50:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-05-26 11:50:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>../assets/certs/ 
2018-05-26 11:50:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-05-26 11:50:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://test1.lsjcbl.top&certId=1493192193960028&merId=7000000185&merchantNum=200370100010003&orderId=1527306634&productCode=0203&queryId=18052616249710049128&reqReserved=my order&respCode=99&respMsg=交易失败[903001]&signMethod=01&txnAmt=100&txnSubType=03&txnTime=20180526115034&txnType=02&version=1.0 
2018-05-26 11:50:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[56]------ 摘要shax16>26537c57e48e1871a3ab2081ddf060f7018374f7 
2018-05-26 11:50:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-05-26 11:52:18, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-05-26 11:52:18, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://test1.lsjcbl.top/notify_url.php&certId=1515124964290786&merId=7000000185&merchantNum=200370100010003&orderId=1527306738&productCode=0202&reqReserved=my order&signMethod=01&txnAmt=100&txnSubType=02&txnTime=20180526115218&txnType=02&version=1.0 
2018-05-26 11:52:18, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >33e46bfc01ec2eac01d635ec221d0930266152e3 
2018-05-26 11:52:18, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[28]------ 签名串为 >vYqVZO5eQEfWdthINrzBDkOHYFEIBjbCkPaGMCDsy6fBdQUAtkQQW5zPQIqJV9uDTUyECVIE/b3gptRm05EB0BB5MWMS1FBSWGf3HgT+8RAE099GvOGcgqYCsjB+yd6PZdZdN6QqwouEQB7Wt+kO0YMfMtp7i5ZAcfrEQbCZubs2yUcXJEn7fJa/MWFt5EEJrX1KqtAsLck2lpOdHDpILsk+6bo9DVf7nBstCinhKey+u1VdKgSW/XFcxm0V3edFl2ErXbSUwuJu4lWlp4ZTf03/gc7o+4L2b5q/tGR/DWpbMNqfxo4zdVWb3nb8ZMzkhetvykGEEXQkbYpiFx82Uw== 
2018-05-26 11:52:18, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-05-26 11:52:19, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-05-26 11:52:19, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>../assets/certs/ 
2018-05-26 11:52:19, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-05-26 11:52:19, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://test1.lsjcbl.top/notify_url.php&certId=1493192193960028&merId=7000000185&merchantNum=200370100010003&orderId=1527306738&productCode=0202&queryId=18052616835010157913&reqReserved=my order&respCode=99&respMsg=交易失败[903001]&signMethod=01&txnAmt=100&txnSubType=02&txnTime=20180526115218&txnType=02&version=1.0 
2018-05-26 11:52:19, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[56]------ 摘要shax16>a25e255131855fb7df3a126eae3bd38029e1835c 
2018-05-26 11:52:19, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >appid=&backUrl=&certId=1515124964290786&merId=&merchantNum=&openid=&orderId=1527306972&productCode=0204&reqReserved=my order&signMethod=01&txnAmt=100&txnSubType=04&txnTime=20180526115612&txnType=02&version=1.0 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >719da069219ab327e7054683209741929a4ae512 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[28]------ 签名串为 >mXs0jfOxW/DUX8vWWmu4Y31gBvunkJpaknlSg+CfDcdT0rYmnQWeVsa5aSMaI/z4mxUdA9ESo/WufJR70hXwCkFfQfuqbrvhX6wW1MLNeIw7vRgBcnPyIua2N7pY3px0ZCjuLrZtalcfdl4+i8HOVRE8LYcO7s40Ayh0q7XgX2I3tGZs6RyAT6yGaPHeKaa9+RHRVjWKJavHdaCtkfrvH+S9MYMr8mlfeRe3JRFqhI/Sr7D2QHkxywhdpNogUgBVHjsQf5HhtZ5vCmugU8ukTu1OxqbqYe69YO3rY5A6PlRc/f/HaMJZeCa6iZTIVJrU589rLmhJDYBKBhkMAxIyzw== 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>../assets/certs/ 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>appid=&backUrl=&certId=1493192193960028&merId=&merchantNum=&openid=&orderId=1527306972&productCode=0204&reqReserved=my order&respCode=33&respMsg=[212001]&signMethod=01&txnAmt=100&txnSubType=04&txnTime=20180526115612&txnType=02&version=1.0 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[56]------ 摘要shax16>d0b801149be0f5cbb05f5a3b46692f41a605dfe7 
2018-05-26 11:56:12, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-05-26 11:56:22, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-05-26 11:56:22, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://test1.lsjcbl.top/notify_url.php&certId=1515124964290786&merId=7000000185&merchantNum=200370100010003&orderId=1527306982&productCode=0202&reqReserved=my order&signMethod=01&txnAmt=100&txnSubType=02&txnTime=20180526115622&txnType=02&version=1.0 
2018-05-26 11:56:22, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >27382d2236d1c3f78f137f0d6e9f78d32e551266 
2018-05-26 11:56:22, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[28]------ 签名串为 >zExv6tE1GAUcE2lFAWIbIyTf29vcml8/NNRqkthEMJw/Cd5TXbBVg/dCxqfVsP94DUmg7k2M1ty0G9TrrDf/rA3pT/DAVrDb40zDZgzbeiD503uCvpc0V5mUsHCVGixjQIVPOlRDW/98MmMail7uzmqUw4jo4xYaPfax9mQAP/MfqIzzeR6hCg1PfdjjfjXuMU24pKic0ju+jZCKGD3uTcOxw3yQcyVc7lDH5OiQgfJDksWWzxK01VrUGAXwJB28+a4xDRgfRE22E1kNcFt5IpmxOA01T6WLeg6cYhmZMuwWj+Kph2n92dG1/rG5WXImGeoith/u/uEwHuTFnODPlg== 
2018-05-26 11:56:22, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-05-26 11:56:23, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-05-26 11:56:23, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>../assets/certs/ 
2018-05-26 11:56:23, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-05-26 11:56:23, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://test1.lsjcbl.top/notify_url.php&certId=1493192193960028&merId=7000000185&merchantNum=200370100010003&orderId=1527306982&productCode=0202&queryId=18052616835457515183&reqReserved=my order&respCode=99&respMsg=交易失败[903001]&signMethod=01&txnAmt=100&txnSubType=02&txnTime=20180526115622&txnType=02&version=1.0 
2018-05-26 11:56:23, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[56]------ 摘要shax16>a65ff95e7e740a72c9681f0e8f84b77210a9bac9 
2018-05-26 11:56:23, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-05-26 11:56:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-05-26 11:56:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://test1.lsjcbl.top/notify_url.php&certId=1515124964290786&merId=7000000185&merchantNum=200370100010003&orderId=1527306994&productCode=0205&reqReserved=my order&signMethod=01&txnAmt=100&txnSubType=05&txnTime=20180526115634&txnType=02&version=1.0 
2018-05-26 11:56:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >0f9cb613305e301ce875d334449b8f2df74aacab 
2018-05-26 11:56:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[28]------ 签名串为 >obuqxIKLbRN88+iuYEkSPPLxqHHB3moOJqnKutF/CahRydEFsLYmtoKDmHhCgCZi5zghJcSGjfnK+w+gYjwKA94sY8R6bpED2VcGZWScDNZd5upnhorgZseIWB51OFSO5AHhfXlfo4e1V3TjhjW7W0Q6ogRfBelAlAyBlAfRYXNqSUKTLDiX+VlexVQnZGfqgR66CKtWP79TCEWmgieb9EpQFPBDtIVVfbCrytOOQk+S69BBNAHdT/OF3Sl9gEGBHihIfYnK7UYgihxOFB5K0h7P2GIhOZoe5EDWI32LHB5e0+KavlorbTzwQ018HXvmfX+gPuI7mWlo4mp3FL+CvA== 
2018-05-26 11:56:34, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-05-26 11:56:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-05-26 11:56:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>../assets/certs/ 
2018-05-26 11:56:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-05-26 11:56:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://test1.lsjcbl.top/notify_url.php&certId=1493192193960028&merId=7000000185&merchantNum=200370100010003&orderId=1527306994&payInfo=https://qr.95516.com/00010000/62012012758673377310691335427018&productCode=0205&queryId=18052616265057509875&reqReserved=my order&respCode=66&respMsg=交易成功&signMethod=01&txnAmt=100&txnSubType=05&txnTime=20180526115634&txnType=02&version=1.0 
2018-05-26 11:56:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[56]------ 摘要shax16>0bf42f76aed2b9ce5ee2b130c9932da7ae91d7ad 
2018-05-26 11:56:35, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-05-26 12:03:14, INFO, ::1, File[ F:\Server\zxPay\public\scan\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
