2018-06-16 19:30:39, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-06-16 19:30:39, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://www.sdjzsx.com/pay/sfb/notify_url.php&certId=1526265143868626&merId=7000000293&merchantNum=200370148160002&orderId=2018061619303942693&productCode=0203&signMethod=01&txnAmt=200&txnSubType=03&txnTime=20180616193039&txnType=02&version=1.0 
2018-06-16 19:30:39, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >7af06e564bc7ac881b038a2657a4444b6fbffd7a 
2018-06-16 19:30:39, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[28]------ 签名串为 >rExhEfx/75tg5qnuTJH/2x6YoTzsWmj9xjoVaHyVaCMmgZEsyPjAHjqvQa+0cSCvjU4G0P9Bzw82PLamgfS+vIrKnaGxg7vNeQI+Lk80yGlBC+spboUywpvq2EAyZT5/6Htc6zl0z88P2ttaRgGzd+FiU7iSUO2uhj+R4yj1iTKf2ekQesr7jAC83snYrDnWjG5Ng4/F0xs1kt78l8ciFRUENBMFI0YXFbO4y0L7GmTBkB3a+2stYFAja/1bIMVUJN3LfYjsom+yEzTF96X+uIMsifZnVlMGzVMWZHRN1rKbelvVCFlxV0l75rq9gbUfb0Jd28C5Wdwx1J3sbfxD1w== 
2018-06-16 19:30:39, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-06-16 19:30:42, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-06-16 19:30:42, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>./assets/certs/ 
2018-06-16 19:30:42, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-06-16 19:30:42, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://www.sdjzsx.com/pay/sfb/notify_url.php&certId=1493192193960028&merId=7000000293&merchantNum=200370148160002&orderId=2018061619303942693&payInfo=https://qr.alipay.com/bax08862lssop8fvallh40d4&productCode=0203&queryId=18061658791025551971&respCode=66&respMsg=交易成功&signMethod=01&txnAmt=200&txnSubType=03&txnTime=20180616193039&txnType=02&version=1.0 
2018-06-16 19:30:42, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[56]------ 摘要shax16>134e9d3bba5e6eab4bc72660685826da0f040992 
2018-06-16 19:30:42, INFO, 124.133.167.186, File[ D:\wwwroot\new166channel\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[58]------ 验签成功 
